"","Year","State","Population","GDP","Coal","Petroleum","Natural Gas","Wood and Wood Derived Fuels","Nuclear","Solar Thermal and Photovoltaic","Wind","Geothermal","Hydroelectric Conventional","Other Biomass","Other Gases","Other","Pumped Storage","Total"
"28","1990","NC",6632448,139658,49821595,328025,203465,1438214,25905319,0,0,0,6819427,26270,0,203406,180046,84925767
"29","1990","ND",638800,11509,25189003,41547,51563,0,0,0,0,0,1711148,0,0,0,0,26993261
"30","1990","NE",1578417,33734,12661150,12981,308065,0,7511298,0,0,0,1140093,0,0,0,0,21633587
"31","1990","NH",1109252,23768,2959203,2346493,0,990198,4080691,0,0,0,1881087,147524,0,0,0,12405196
"32","1990","NJ",7747750,214357,7057820,2094969,6914325,3471,23770387,0,0,0,31351,246058,0,0,-149547,39968834
"33","1990","NM",1515069,26600,25826928,35626,2738087,0,0,0,0,0,205435,14128,0,0,0,28820204
"34","1990","NV",1201675,30980,15053277,284108,2217027,0,0,0,0,761192,1735081,0,0,0,0,20050685
"35","1990","NY",17990778,493192,25913047,33884855,22724335,407959,23623356,0,0,0,28188222,1568979,89034,0,-1054095,135345692
"36","1990","OH",10847115,227413,115832650,374481,241585,318075,10663897,0,0,0,181395,304285,64159,0,0,127980527
"37","1990","OK",3145576,57805,25655347,76947,18236766,268963,0,0,0,0,2730594,1780,88970,0,19764,47079131
"38","1990","OR",2842337,56566,1317344,27777,819328,802598,6073796,0,539,0,41240367,90487,0,0,0,50372236
"39","1990","PA",11882842,245281,106677155,4654522,2833882,538313,57787051,0,0,0,2869192,300109,841604,732,-879249,175623311
"40","1990","RI",1003464,21664,0,185671,876943,0,0,0,0,0,9946,34756,0,0,0,1107316
"41","1990","SC",3486310,65157,23411867,172575,787535,1269290,42880669,0,0,0,3298066,49561,0,0,-506389,71363174
"42","1990","SD",696004,12770,2472514,8149,12408,0,0,0,0,0,3934402,0,0,0,0,6427473
"43","1990","TN",4877203,94087,51825606,137067,224146,366858,14002591,0,0,0,10015363,44919,4210,45000,-478151,76187609
"44","1990","TX",16986335,378943,120921396,1827803,136234325,1103471,15859258,385,0,0,1793625,333132,2997509,488731,0,281559635
"45","1990","US-TOTAL",248790925,5651747,1594011479,126460202,372765154,32521889,576861678,367087,2788600,15434271,292865846,13260379,10382830,3615663,-3507741,3037827337
"46","1990","UT",1722850,31249,31522926,51852,146488,0,0,0,0,151825,508443,0,182005,0,0,32563539
"47","1990","VA",6189197,144971,23899902,1438264,1134809,1174673,23820152,34,0,0,1309499,620794,0,0,-833669,52564458
"48","1990","VT",562758,11674,0,2543,65281,114985,3616268,0,0,0,1365031,0,0,0,0,5164108
"49","1990","WA",4866669,118640,7390279,42981,288058,1122771,5742027,0,0,0,87466708,6499,8460,3750,0,102071533
"50","1990","WI",4891954,100236,33168941,179457,347204,683116,11225913,0,44,0,2014412,149770,0,0,0,47768857
"51","1990","WV",1793477,27754,77643366,325675,90063,0,0,0,0,0,1295051,0,174182,11207,0,79539544
"52","1990","WY",453589,12705,38908467,49205,268202,50440,0,0,0,0,644613,0,8642,45396,0,39974965
"53","1991","AK",569273,22283,520514,513425,3319395,140381,0,0,0,0,896113,0,0,0,0,5389828
"54","1991","AL",4091025,76043,58222842,167824,1222500,2216550,15874637,0,0,0,10757723,31330,293206,0,0,88786612
"55","1991","AR",2370666,41572,19644712,68257,3324886,1373914,12661793,0,0,0,3546966,16613,0,0,14103,40651244
"56","1991","AZ",3762394,73358,32557748,117399,2226388,106788,25095776,0,0,0,6735540,0,0,0,362912,67202551
"57","1991","CA",30414114,790046,2632419,1970119,74006160,4114644,31541799,471361,2914505,14784796,21957064,2471400,1978403,5112,99860,158947642
"58","1991","CO",3367567,79766,29134010,37910,1314681,0,0,0,0,0,1794290,58832,0,0,-18130,32321593
"59","1991","CT",3288640,101475,3633427,7993224,1571856,0,12242911,0,0,0,433338,1162621,2646,0,-3556,27036467
"60","1991","DC",593239,41430,0,179814,0,0,0,0,0,0,0,0,0,0,0,179814
"61","1991","DE",680495,21746,4820759,1900822,1110236,0,0,0,0,0,0,0,0,6315,0,7838132
"62","1991","FL",13289497,267669,62013484,30599959,19758810,2086128,20507569,0,0,0,263066,2259842,10292,1917539,0,139416689
"63","1991","GA",6621279,147760,61034072,541032,809826,3041610,26016023,0,0,0,4232058,65788,0,431,432291,96173131
"64","1991","HI",1131412,34357,7612,7714453,0,0,0,0,35621,0,70988,823082,51479,0,0,8703235
"65","1991","IA",2791227,57944,26756771,49892,388004,0,4146811,0,0,0,901111,25267,0,0,0,32267856
"66","1991","ID",1038915,18852,16359,361,107243,487645,0,0,0,0,8745279,9784,0,61948,0,9428619
"67","1991","IL",11535973,288473,55060170,910110,1735870,211,71866091,0,0,0,134457,182055,385381,0,0,130274345
"68","1991","IN",5602062,114637,97457227,529353,1454748,0,0,0,0,0,399051,33114,2107806,0,0,101981299
"69","1991","KS",2495209,53981,23435008,60984,3265529,0,5858613,0,42,0,10567,0,0,0,0,32630743
"70","1991","KY",3714686,71679,71713851,111558,21871,0,0,0,0,0,3657801,0,0,0,0,75505081
"71","1991","LA",4240950,96043,18968479,55760,36363381,2342071,13956196,0,0,0,656492,91661,955600,1583053,0,74972693
"72","1991","MA",5998652,160728,11985593,16159825,6329862,0,4416611,0,0,0,1114929,1634651,800,0,-622480,41019791
"73","1991","MD",4856176,115428,22835671,4078506,1517463,160602,9036100,0,0,0,1407287,336551,478704,0,0,39850884
"74","1991","ME",1235439,23379,857960,2152209,49101,3819497,6264366,0,0,0,3817231,384419,0,0,0,17344783
"75","1991","MI",9395022,197717,66878223,658567,8499078,1214131,27021214,0,0,0,1751668,504978,217829,28221,-795785,105978124
"76","1991","MN",4427429,106102,26783813,583697,803940,424465,12059055,0,237,0,1037092,439811,0,0,0,42132110
"77","1991","MO",5157770,109162,48211692,119145,1093001,0,9979371,0,0,0,1119389,0,0,0,-47872,60474726
"78","1991","MS",2591230,40862,8790265,396188,5718936,1838294,9132933,0,0,0,0,0,0,0,0,25876616
"79","1991","MT",807837,13875,16432520,19654,32344,98623,0,0,0,0,11970007,0,0,0,0,28553148
"80","1991","NC",6748135,146367,50767188,275785,385907,1296373,30312425,0,0,0,5850120,44128,0,226926,216432,89375284
"81","1991","ND",634199,11691,25828747,52646,940,0,0,0,0,0,1756684,0,40131,0,0,27679148
"82","1991","NE",1590805,35613,13591228,13459,303327,0,8047662,0,0,0,1044671,0,0,0,0,23000347
"83","1991","NH",1107055,24763,3168054,1592175,-1,946544,6787851,0,0,0,1585286,141432,0,0,0,14221341
"84","1991","NJ",7784269,221915,5237132,2151098,10592907,0,24806606,0,0,0,21598,804765,67544,0,-155184,43526466
"85","1991","NM",1547115,30295,22129312,33012,2863662,0,0,0,0,0,237108,14128,0,0,0,25277222
"86","1991","NV",1285046,32786,16365730,242477,2094971,0,0,0,0,995408,2365050,0,0,1568,0,22065204
"87","1991","NY",18029532,497336,26659951,28220555,23074027,320938,28448293,0,0,0,27172120,1660364,51520,0,-1007269,134600499
"88","1991","OH",10933683,233975,117502355,427742,364566,373031,14832789,0,0,0,154224,324478,57312,0,0,134036497
"89","1991","OK",3166471,59632,28404639,46069,18416871,268133,0,0,0,0,1922137,0,106620,0,-65352,49099117
"90","1991","OR",2918745,59441,2814199,11000,1223154,750864,1465368,0,539,0,41088337,91428,0,0,0,47444889
"91","1991","PA",11943160,255163,106028875,4125862,2108889,566951,57475671,0,0,0,1920358,670825,721051,107372,-963145,172762709
"92","1991","RI",1003990,21738,0,94651,2749067,0,0,0,0,0,9946,72155,0,0,0,2925819
"93","1991","SC",3559470,68000,23821335,180889,1081636,1377836,43108073,0,0,0,3111318,59411,5821,7945,-574257,72180007
"94","1991","SD",701445,13736,2727087,8427,9036,0,0,0,0,0,3828116,0,0,0,0,6572666
"95","1991","TN",4946886,101208,48236733,172265,197260,424765,16586744,0,0,0,10872944,36354,3153,38926,-376338,76192806
"96","1991","TX",17339904,393574,120845051,1492995,136442893,1166585,19799867,371,0,0,2224581,330029,3320535,705801,0,286328708
"97","1991","US-TOTAL",252153092,5842665,1590622748,119751573,381553017,33725358,612565087,471765,2950951,15966444,288994189,15664746,11335593,4738849,-4541435,3073798885
"98","1991","UT",1771941,33501,28887600,51314,549984,0,0,0,0,186241,626965,0,203802,0,0,30505906
"99","1991","VA",6283853,151093,24821391,2353996,1730887,1193000,23886268,33,0,0,1080055,701129,0,0,-1037665,54729094
"100","1991","VT",567141,11733,0,5244,95341,126367,4108314,0,0,0,1052719,0,0,0,0,5387985
"101","1991","WA",5013443,125895,7944779,31164,460424,717827,4229868,0,0,0,89342397,46633,97467,3,0,102870562
"102","1991","WI",4952675,104774,34487009,164243,381590,680149,10991419,0,6,0,2516633,135688,0,0,0,49356737
"103","1991","WV",1798212,29092,71867808,253047,58808,0,0,0,0,0,1065385,0,178489,198,0,73423735
"104","1991","WY",457739,12977,38081345,61417,321763,50440,0,0,0,0,735932,0,0,47491,0,39298388
"105","1992","AK",587073,22753,495795,521950,3214330,131934,0,0,0,0,918120,16295,0,0,0,5298424
"106","1992","AL",4139269,81260,61160671,194866,1396063,2467853,19397436,0,0,0,10260023,28790,328720,0,0,95234422
"107","1992","AR",2394098,45018,20093600,52668,3426632,1452610,11325661,0,0,0,3377255,14983,0,0,2692,39746101
"108","1992","AZ",3867333,82682,34817088,101915,2975365,138431,25608706,0,0,0,6620757,0,0,0,290465,70552727
"109","1992","CA",30875920,807358,3299510,1948539,88704787,4252371,35244336,399260,2863999,14771487,20167410,2783356,2714688,10211,-4495,177155459
"110","1992","CO",3459995,87302,30247748,40888,1347188,0,0,0,0,0,1499162,28173,0,0,132331,33295490
"111","1992","CT",3274997,105759,3717996,5483841,1471825,0,16770708,0,0,0,423713,1337177,2819,0,3301,29211380
"112","1992","DC",584183,43187,0,73991,0,0,0,0,0,0,0,0,0,0,0,73991
"113","1992","DE",690158,22907,4003881,2181233,627975,0,0,0,0,0,0,0,164881,6315,0,6984285
"114","1992","FL",13504775,284673,62709653,28617786,19919616,2290724,25115956,0,0,0,235604,2920768,15178,1951858,0,143777143
"115","1992","GA",6759474,160062,59227954,813405,729290,3105821,27996298,0,0,0,4915318,87064,0,0,483079,97358229
"116","1992","HI",1149926,36129,556628,8334203,0,254,0,0,22676,2134,61123,805042,62401,0,0,9844461
"117","1992","IA",2806923,61870,25763013,40085,269011,0,3405144,0,0,0,999665,20009,0,0,0,30496927
"118","1992","ID",1066490,20632,44371,2313,137549,544143,0,0,0,0,6653977,8619,0,72032,0,7463004
"119","1992","IL",11635197,306236,51416591,437893,1703597,46,73742321,0,0,0,139308,202394,404078,0,0,128046228
"120","1992","IN",5648649,124714,96616880,488064,1184257,0,0,0,0,0,562476,33471,2133416,0,0,101018564
"121","1992","KS",2526042,56902,22152736,52826,1372392,0,8490658,0,113,0,9768,0,0,0,0,32078493
"122","1992","KY",3756358,77531,73476309,83886,23832,0,0,0,0,0,3767232,0,0,0,0,77351259
"123","1992","LA",4270849,90890,19840001,1065464,36977798,2533780,10355520,0,0,0,656492,80251,1162816,702002,0,73374124
"124","1992","MA",5993474,167435,11064697,13726316,8479397,31216,4741968,0,0,0,1010856,1681890,0,0,-648685,40087655
"125","1992","MD",4902545,119535,23850470,2749511,1077542,174801,10663950,0,0,0,1824659,329854,506572,0,0,41177359
"126","1992","ME",1235748,24329,559844,2187082,24687,3632079,5357999,0,0,0,3512606,409247,0,0,0,15683544
"127","1992","MI",9470323,212057,63346702,628767,9528639,1352285,18848731,0,0,0,1782271,330502,243754,31190,-770902,95321939
"128","1992","MN",4471503,114518,25701266,648658,645888,509061,11166355,0,145,0,1062506,525005,0,0,0,40258884
"129","1992","MO",5193686,115288,47099235,81078,237779,0,8083975,0,0,0,1481265,85,0,0,-31744,56951673
"130","1992","MS",2610193,44012,7836090,413903,4735182,1976025,8173763,0,0,0,0,0,0,0,0,23134963
"131","1992","MT",822436,14937,17453833,16956,34569,123399,0,0,50,0,8270838,0,0,0,0,25899645
"132","1992","NC",6831850,159337,58274019,335046,361308,1677076,22753813,0,0,0,5768453,30506,0,225149,109885,89535255
"133","1992","ND",635427,12896,26960827,55282,13411,0,0,0,0,0,1698854,0,38523,0,0,28766897
"134","1992","NE",1602406,38214,12440175,9482,145492,0,8748468,0,0,0,1075446,6435,0,0,0,22425498
"135","1992","NH",1112766,26332,3187087,1413274,57001,1033508,7868653,0,0,0,1393631,164099,0,0,0,15117253
"136","1992","NJ",7827770,230774,5409083,1308375,14515031,0,21595097,0,0,0,22380,904189,48157,0,-138298,43664014
"137","1992","NM",1580750,32638,25348413,37159,2414692,0,0,0,0,0,255046,14128,0,0,0,28069438
"138","1992","NV",1330694,36052,16443169,327585,3392197,0,0,0,0,1177972,1985691,0,0,20929,0,23347543
"139","1992","NY",18082032,519704,27279703,18319258,26849697,489862,24154932,0,0,0,28056647,1738485,91985,0,-1031645,125948924
"140","1992","OH",11007609,250650,121249946,258124,340236,332100,14805499,0,0,0,253165,349113,73545,0,0,137661728
"141","1992","OK",3204174,62209,30003846,51626,16419444,247483,0,0,0,0,3241701,1832,72380,0,-31864,50006448
"142","1992","OR",2973934,63392,3702081,10655,1527911,719271,4572587,0,539,0,31718535,93795,0,0,0,42345374
"143","1992","PA",11980819,269849,109124697,2648000,2707834,626343,60132729,0,0,0,2577615,1252363,1011223,243730,-918889,179405645
"144","1992","RI",1000571,22665,0,98919,4612506,0,0,0,0,0,9946,63834,0,0,0,4785205
"145","1992","SC",3600576,71848,23677865,158187,271179,1664601,45536530,0,0,0,3310446,63812,17359,6027,-535497,74170509
"146","1992","SD",708698,14886,2626290,7472,642,0,0,0,0,0,3612010,0,0,0,0,6246414
"147","1992","TN",5013999,111660,51527665,129598,275511,434339,15653580,0,0,0,10011047,54764,3454,79537,-421383,77748112
"148","1992","TX",17650479,416401,121395162,1628161,134639387,1301936,24496392,369,0,0,2638164,340652,3527112,324978,0,290292313
"149","1992","US-TOTAL",255029699,6167644,1621206039,100154163,404074372,36528662,618776263,399640,2887523,16137962,253088003,17816035,13270237,3719887,-4176582,3083882204
"150","1992","UT",1821498,35602,31552990,33635,631435,0,0,0,0,186369,602384,0,230326,0,0,33237139
"151","1992","VA",6383315,158990,26225034,1852865,2475690,1278974,23334340,11,0,0,1089975,759914,0,484,-664933,56352354
"152","1992","VT",570115,12538,0,2688,63120,148242,3734594,0,0,0,921498,0,0,0,0,4870142
"153","1992","WA",5139011,134469,9658148,25745,1273763,1100901,5692379,0,0,0,68324659,172810,234023,1,0,86482429
"154","1992","WI",5004636,112972,33833943,155249,379591,753503,11207185,0,0,0,2401605,162325,0,0,0,48893401
"155","1992","WV",1805462,30410,73352552,241211,120856,0,0,0,0,0,1271063,0,174182,50,0,75159914
"156","1992","WY",463491,13179,41380784,58483,341257,3692,0,0,0,0,635640,0,8642,45396,0,42473894
"157","1993","AK",596993,23284,533123,587422,3191814,90504,0,0,0,0,1302992,15422,0,0,0,5721277
"158","1993","AL",4193114,84563,67336321,192944,1260978,3348730,17823325,0,0,0,9034210,2383,338105,0,0,99336996
"159","1993","AR",2423743,47566,18091528,73127,2703261,1570163,13521676,0,0,0,4509292,29607,0,0,0,40498654
"160","1993","AZ",3993390,89300,37272195,85442,1936549,102849,22048880,0,0,0,6697088,0,0,0,325983,68468986
"161","1993","CA",31147208,826447,3129951,3601682,79644169,3864828,31580692,462078,2983640,14948113,40492526,2891154,3097462,11423,282924,186990642
"162","1993","CO",3560884,95659,30701319,8966,1510863,0,0,0,0,0,1911842,34448,0,0,72745,34240183
"163","1993","CT",3272325,107680,3508317,4384501,1383916,0,21801782,0,0,0,414685,1395624,0,0,-4254,32884571
"164","1993","DC",576358,45356,0,188452,0,0,0,0,0,0,0,0,0,0,0,188452
"165","1993","DE",699475,23509,5374615,2504620,1029190,0,0,0,0,0,0,0,103206,6049,0,9017680
"166","1993","FL",13713593,304403,63138674,34727092,20754801,2369622,25886864,0,0,0,210776,3096959,72413,1676955,0,151934156
"167","1993","GA",6894092,171659,64252566,1137913,696214,3213037,27233352,0,0,0,4456651,113394,0,0,344444,101447571
"168","1993","HI",1161508,36732,1479074,7393981,0,72,0,0,21944,152249,56243,777056,63068,0,0,9943687
"169","1993","IA",2820525,63386,27531644,56925,448989,0,3235009,0,0,0,747182,29264,0,0,0,32049013
"170","1993","ID",1101204,23100,39299,432,156736,536397,0,0,0,0,9715485,10240,0,74844,0,10533433
"171","1993","IL",11725984,320079,61490315,734092,2126611,248,78373458,0,0,0,130194,251034,347139,0,0,143453091
"172","1993","IN",5701965,132108,99676953,372274,974598,0,0,0,0,0,448400,32454,2130459,0,0,103635138
"173","1993","KS",2547605,58953,26799665,95862,1942454,0,7899543,0,58,0,4985,0,0,0,0,36742567
"174","1993","KY",3792288,81618,81722246,96727,23632,0,0,0,0,0,3155113,0,0,0,0,84997718
"175","1993","LA",4284749,95866,19411728,3487566,36355225,2589696,14398103,0,0,0,1231946,84369,700587,716315,0,78975535
"176","1993","MA",6010884,173527,9930394,11591852,9050108,105607,4338685,0,0,0,882373,1858998,0,0,-678809,37079208
"177","1993","MD",4942504,125515,25126979,4164790,772304,175122,12300816,0,0,0,1658271,303818,475788,0,0,44977888
"178","1993","ME",1238256,25202,549170,1863091,9878,3712592,5739866,0,0,0,3245780,489107,4788,0,0,15614272
"179","1993","MI",9529240,226368,63959080,761575,10020213,1586167,28525000,0,0,0,1761842,487404,3371,37111,-773214,106368549
"180","1993","MN",4521709,117947,28652362,637904,512693,573655,11986053,0,185,0,1150808,526975,0,0,0,44040635
"181","1993","MO",5237757,118906,40983960,635278,439974,0,8381333,0,0,0,3184483,2248,0,0,-74307,53552969
"182","1993","MS",2635574,47340,8880214,3600540,3604647,1952578,7903547,0,0,0,0,0,0,0,0,25941526
"183","1993","MT",839876,16054,14082858,22069,34920,118919,0,0,0,0,9614088,0,0,0,0,23872854
"184","1993","NC",6947412,168006,63572654,407255,394750,1669999,23758927,0,0,0,4987070,42505,0,234982,246302,95314444
"185","1993","ND",637229,13049,27140713,61118,7076,0,0,0,0,0,1415110,0,39393,0,0,28663410
"186","1993","NE",1612149,39353,14776211,19035,153065,0,6805133,0,0,0,1001663,5750,0,0,0,22760857
"187","1993","NH",1122191,27362,3263241,1304573,11503,1038158,9046805,0,0,0,1410609,167871,0,0,0,16242760
"188","1993","NJ",7874891,240389,5465771,1475224,15545039,0,24932240,0,0,0,19005,943977,86860,0,-123234,48344882
"189","1993","NM",1614937,36876,25507029,43290,2888566,0,0,0,0,0,293827,11816,0,0,0,28744528
"190","1993","NV",1380197,40039,15627860,326981,4033198,0,0,0,0,1540055,1972180,0,0,2198,0,23502472
"191","1993","NY",18140894,537504,24501966,15072965,27075267,558035,26889261,0,0,0,29443296,1724963,90980,0,-1135702,124221031
"192","1993","OH",11070385,259612,123795912,346002,371452,296087,10010661,0,0,0,189613,99045,128520,0,0,135237292
"193","1993","OK",3228829,65552,31692175,56319,16762567,262544,0,0,0,0,4357456,0,89656,0,-61044,53159673
"194","1993","OR",3034490,69409,3520392,33668,1778067,639416,-21276,0,0,0,35864080,95238,0,0,0,41909585
"195","1993","PA",12022128,281704,108131818,5013320,3869669,644906,59330534,0,0,0,2376466,1425981,1097975,207510,-884047,181214132
"196","1993","RI",997852,23566,0,72481,4508632,0,0,0,0,0,9385,74798,0,0,0,4665296
"197","1993","SC",3634507,76158,27239959,202239,207716,1530961,46188884,0,0,0,2950139,62125,24411,7517,-239116,78174835
"198","1993","SD",716258,16105,2641582,12287,10527,0,0,0,0,0,2591115,0,0,0,0,5255511
"199","1993","TN",5085666,119568,61094822,239106,292727,426063,3304836,0,0,0,8954227,61659,2681,68236,-560158,73884199
"200","1993","TX",17996764,443775,131046002,1854468,147294114,1249854,12406774,366,0,0,1786405,368232,3281370,401130,0,299688715
"201","1993","US-TOTAL",257782608,6467698,1690070232,112788180,414926798,37623407,610291214,462452,3005827,16788565,280494008,18333031,12955798,3487156,-4035572,3197191096
"202","1993","UT",1875993,38631,32125793,36586,606099,0,0,0,0,148148,860019,0,281457,0,0,34058102
"203","1993","VA",6464795,167688,29410001,2500809,4378066,1295112,22688763,8,0,0,1313303,431533,0,0,-774085,61243510
"204","1993","VT",574004,13027,0,5029,20558,264744,3372148,0,0,0,981286,0,0,0,0,4643765
"205","1993","WA",5247704,142500,8835079,59434,3197945,1018120,7134966,0,0,0,67312383,214990,222852,7,0,87995776
"206","1993","WI",5055318,120024,34550945,335556,411676,818627,11464574,0,0,0,2486587,170587,0,0,0,50238552
"207","1993","WV",1816179,31881,72968665,236934,158242,0,0,0,0,0,1114101,0,271186,36,0,74749164
"208","1993","WY",469033,13791,39507092,66381,365540,0,0,0,0,0,787427,0,2071,42843,0,40771354
"209","1994","AK",600624,23605,502866,562644,3401175,138142,0,0,0,0,1345407,16282,0,0,0,5966516
"210","1994","AL",4232965,90098,63304075,244984,1248034,3723102,20479759,0,0,0,11429120,6800,328383,0,0,100764257
"211","1994","AR",2450605,51416,19852118,99613,3125327,1532559,13923701,0,0,0,3462641,34352,0,1837,0,42032148
"212","1994","AZ",4147561,100374,38343130,152170,2483535,114905,23170894,0,0,0,7365425,0,0,0,304437,71934496
"213","1994","CA",31317179,861360,3271691,3411141,94431800,4223531,33752237,486318,3387128,13660402,23012615,2646840,2959314,14125,934849,186191991
"214","1994","CO",3653910,104507,31636583,10220,2320742,0,0,0,0,0,1544037,28462,0,0,111867,35651911
"215","1994","CT",3268346,113115,3622776,3543562,1898585,0,20159938,0,0,0,481162,1470099,0,0,2795,31178917
"216","1994","DC",564982,46655,0,274252,0,0,0,0,0,0,0,0,0,0,0,274252
"217","1994","DE",708416,25638,4949403,2041601,2130417,0,0,0,0,0,0,0,100885,7970,0,9230276
"218","1994","FL",13961798,327167,63465108,33897384,26151929,2412436,26682107,0,0,0,274474,3177187,34879,2051342,0,158146846
"219","1994","GA",7045900,187996,65698752,998279,633951,3129875,28927090,0,0,0,4331435,58571,0,0,578456,104356409
"220","1994","HI",1173903,37395,1326742,7640913,0,310,0,0,20350,185318,139426,730124,65719,0,0,10108902
"221","1994","IA",2829422,70161,27450892,101790,376485,95,4107383,0,53,0,1071023,59285,0,0,0,33167006
"222","1994","ID",1135459,25455,38038,65,159061,516132,0,0,0,0,7916153,12210,0,85138,0,8726797
"223","1994","IL",11804986,347971,62998413,1243456,3733054,147,72654499,0,0,0,120633,289919,259174,0,0,141299295
"224","1994","IN",5745626,143335,102921426,366082,1509171,0,0,0,0,0,406867,36993,1941518,0,0,107182057
"225","1994","KS",2569118,63304,26488755,88598,2503605,0,8529002,0,55,0,9854,0,0,0,0,37619869
"226","1994","KY",3823215,87646,79897442,154819,31183,0,0,0,0,0,4013590,0,0,0,0,84097034
"227","1994","LA",4306500,105119,20163412,2320393,38511585,2534405,12778635,0,0,0,971978,92863,1335124,677566,0,79385961
"228","1994","MA",6031352,185710,10320147,10098641,11319676,116323,3858569,0,0,0,937917,1933887,0,0,-646096,37939064
"229","1994","MD",4985411,133311,25624758,4275226,1172042,168822,11235408,0,0,0,2009536,352064,501762,0,0,45339618
"230","1994","ME",1237687,26543,676920,1872338,9267,3238448,6631984,0,0,0,3510767,512498,3928,0,0,16456150
"231","1994","MI",9584481,251484,69771616,825523,10436549,1717072,14144281,0,0,0,1660268,543202,4634,15307,-811063,98307389
"232","1994","MN",4566028,128167,28125703,607700,656857,484652,12223620,0,39523,0,1138733,620867,0,0,0,43897655
"233","1994","MO",5281206,130567,48885619,745215,389302,0,10006491,0,0,0,1916293,6915,0,0,-72157,61877678
"234","1994","MS",2663450,51602,8946974,1124155,7223384,1761286,9614699,0,0,0,0,0,0,0,0,28670498
"235","1994","MT",854923,17062,16809389,20122,73226,100605,0,0,0,0,8149507,0,0,0,0,25152849
"236","1994","NC",7060959,181288,58124390,452234,310242,1716892,32346007,0,0,0,7192276,45025,0,260777,380819,100828662
"237","1994","ND",639762,14304,27181087,60860,55,0,0,0,0,0,1856461,13583,43779,0,0,29155825
"238","1994","NE",1621551,43504,14039467,18201,258918,0,6345330,0,0,0,1311883,9332,0,0,0,21983131
"239","1994","NH",1133054,29190,3181654,1420578,114587,926762,6203747,0,0,0,1461327,153844,0,0,0,13462499
"240","1994","NJ",7918796,251573,5672211,2356728,17191828,0,22129335,0,0,0,15083,1135382,101509,0,-166734,48435342
"241","1994","NM",1653329,41685,26752349,25696,3388937,0,0,0,0,0,212890,10802,0,0,0,30390674
